Number,entry,meaning
136,appeal,訴える
137,appear,現れる，のように思われる
138,appearance,出現，外見
139,appetite,食欲
140,appetizer,前菜
141,applaud,拍手する
142,appliance,器具
143,applicable,該当する
144,applicant,応募者，候補者
145,application,申し込み，応用
146,applied,適用した
147,apply,を適用する、当てはまる
148,appoint,任命する，指名する
149,appointment,約束
150,appraisal,鑑定，見積もり
151,appraisee,鑑定人
152,appreciate,感謝する
153,apprentice,見習い、実習生
154,apprenticeship,見習い
155,approach,に近づく
156,appropriate,適当な，適切な
157,approval,承認
158,approve,承認する
159,approximate,およその
160,aptitude,適性
161,arbitrary,恣意的な、任意の
162,arbitration,仲裁
163,arbitrator,仲裁人
164,architect,建築家
165,architecture,建築
166,archive,記録保管場所
167,arena,舞台
168,argue,だと主張する
169,arise,起こる，生じる
170,arithmetic,算数
171,arms,武器，兵器
172,army,陸軍
173,arrange,（を）計画・準備する
174,arranged,手配された
175,arrangement,手配
176,array,整列させる
177,arrest,逮捕する
178,art,美術、芸術
179,article,記事、文章
180,artistic,芸術的な
181,artwork,芸術作品
182,ascend,昇る
183,ash,灰
184,Asia,アジア
185,aspect,側面
186,assault,暴行
187,assemble,組み立てる
188,assembly,集合
189,assessment,評価
190,asset,資産
191,assign,割り当てる
192,assigned,割り当てた、任命した
193,assignment,宿題
194,assist,手伝う
195,assistance,支援
196,assistant,助手
197,Associate,を結びつけて考える
198,association,協会、組合
199,assume,想定する
200,assumption,想定，思いこみ
201,assurance,保証
202,astonish,びっくりさせる
203,athletic,競技の
204,atlantic,大西洋の
205,atmosphere,雰囲気
206,attached,添付された
207,attachment,付属物
208,attempt,企てる
209,attendance,出席
210,attendant,付き添いの，付帯の
211,attendee,出席者
212,attending,出席している
213,attention,注意、注目
214,attentive,注意深い
215,attire,服装
216,attitude,考え方，態度
217,attorney,弁護士
218,attract,を引きつける
219,attribute,に帰する
220,audience,聴衆，観客，視聴者
221,audit,監査
222,auditorium,講堂
223,authentic,本物の
224,author,著者，作家
225,authority,権威
226,authorize,許可する
227,automobile,自動車
228,availability,可用性
229,available,利用できる、人の手があいている
230,avenue,通り，大通り
231,aviation,航空，航空機産業
232,avoid,を避ける
233,aware,気づいている
234,awful,ひどい
235,awkward,ぎこちない
236,back,裏の、後ろの
237,background,背景，経歴
238,baggage,荷物
239,baked,焼いた
240,ban,禁止する
241,bang,ドンドン叩く
242,bank,銀行、土手
243,bankruptcy,倒産
244,banquet,宴会
245,barely,かろうじて
246,barn,納屋
247,batch,ひとまとめ
248,battery,電池
249,bear,我慢する
250,because,なぜなら
251,become,～になる
252,beforehand,あらかじめ、事前に
253,beg,を乞う
254,begin,始まる
255,behalf,代わって
256,behave,振る舞う
257,believe,信じる
258,belly,腹，腹部
259,belong,ものである
260,belongings,持ち物
261,benchmark,基準
262,bend,曲げる
263,beneath,下に
264,beneficial,有益な
265,benefit,利益/に利益をもたらす
266,between,間
267,beverage,飲料
268,Beyond,を超えて
269,bias,偏見，先入観
270,bid,入札する
271,bill,請求書，紙幣，法案
272,billing,請求書
273,billion,10億
274,bind,縛りつける
275,biography,伝記
276,biological,生物学上の
277,bite,を噛む
278,biweekly,隔週の
279,blame,非難する
280,blank,白紙の
281,blaze,火炎
282,blend,混ぜる
283,bless,祝福する
284,blink,まばたきをする/まばたき
285,bloom,咲く
286,blow,（を）吹く/打撃
287,boast,自慢する
288,bold,勇敢な
289,bomb,爆弾
290,bond,拘束、きずな
291,book,予約する
292,booking,予約
293,boost,を強化する，増加させる
294,boredom,退屈
295,borrowing,借入
296,botanical,植物の
297,both,両方の
298,bottom,底
299,boulevard,大通り
300,bow,お辞儀をする/お辞儀
301,branch,枝，支店
302,breach,違反
303,breadth,幅
304,breakdown,明細，内訳
305,breathtaking,息をのむような
306,bride,花嫁
307,bridge,橋
308,brief,短い
309,brilliant,すばらしい
310,brim,へり，縁
311,broadcast,を放送する
312,brochure,小冊子
313,brokerage,仲介
314,browse,見て回る，拾い読みする
315,budget,予算
316,bug,虫、故障
317,bulk,大きさ
318,bulletin,速報，告示
319,bundle,束
320,bureau,事務局，たんす
321,burst,破裂する，を破裂させる
322,bury,埋める
323,business card,名刺
324,busy,忙しい
325,buy,買う
326,cage,かご、おり
327,calculation,計算
328,campaign,政治的運動
329,candidate,候補者、志願者
330,capability,容量
331,capable,可能性がある，しかねない，有能な
332,capacity,最大容量、能力
333,cape,岬
334,capital,首都
335,capitalisation,資本化
336,capitalism,資本主義
337,carbohydrate,炭水化物
338,carbon,炭素
339,cargo,貨物
340,carpenter,大工
341,carry-on,続ける
342,carting,配膳，食事提供
343,cartoon,漫画
344,carve,切り分ける，刻む
345,case,場合、容器
346,cashflow,現金流量
347,cast,投げる
348,casual,何気ない
349,casualty,犠牲者
350,category,部門，部類
351,catering,出前，仕出し
352,cathedral,大聖堂
353,caused,引き起こした
354,cavalry,騎兵
355,cave,ほら穴
356,cavity,空洞，虫歯
357,cease,やめる，終わる
358,ceiling,天井
359,celebration,お祝い
360,cell,細胞
361,century,世紀
362,CEO,代表取締役
363,ceremony,式
364,certain,確かな
365,certainly,確かに
366,certificate,証明書
367,certified,有資格の、公認の
368,chain,くさり
369,chairman,会長
370,charm,魅力/を魅了する
371,chart,表，図
372,checkup,検診
373,cheek,頬
374,chemical,化学の/化学製品
375,cheque,小切手
376,childhood,子供時代
377,chronicle,年代記
378,church,教会
379,circumstance,事情
380,civilization,文明
381,clarify,明らかにする
382,clarity,明快さ
383,clasp,留め具、金具
384,class,階級，等級，授業，学級
385,clause,節，条項
386,clay,粘土
387,clearance,片付け，除去
388,clearly,明確に
389,clerical,事務職の
390,clerk,店員
391,client,顧客
392,climate,気候
393,cling,しがみつく，固執する
394,clinic,診療所
395,closely,綿密に，密接に
396,closure,閉鎖
397,clothing,衣料品
398,clue,手がかり
399,clutter,乱雑
400,coalition,連立、連合
401,coincide,同時に起こる
402,coincidence,偶然
403,collaborate,協力する
404,collapse,崩壊する
405,colleague,同僚
406,collect,集める
407,college,大学
408,colony,植民地
409,column,柱、段
410,combat,戦闘
411,combination,組み合わせ
412,combine,を結合させる
413,comfortable,快適な、居心地のよい
414,commemorate,祝う、記念する
415,commercial,商業の
416,commission,手数料
417,commissioned,委託された
418,commissioner,委員、理事
419,commit,罪などを犯す
420,commitment,委託、献身
421,committee,委員会
422,common,共通の
423,communist,共産主義者
424,community,共同社会
425,commute,通勤する
426,commuter,通勤者
427,companion,連れ，仲間
428,company,会社、仲間
429,comparable,比較できる
430,compare,を比較する，をたとえる
431,compared,比較された
432,comparison,比較
433,compatible,互換性のある
434,compensate,補償する
435,compete,競争する
436,competence,力量，能力
437,competent,有能な
438,competition,競争、競争相手
439,competitive,競争力のある
440,complain,不満を言う
441,complaint,不満
442,complement,補足物
443,complete,完全な
444,compliance,社会規範
445,complicate,複雑にする
446,complicated,複雑な
447,comply,準拠する
448,component,成分，部品
449,compose,構成する
450,compost,混合物
451,compound,調合する
452,comprehend,理解する
453,comprehension,理解
454,comprehensive,包括的な
455,compromise,妥協
456,compulsory,義務的な
457,conceal,隠す，隠れる
458,concede,譲歩する
459,conceive,構想する
460,concentrate,集中する
461,concentrated,集中的な、濃縮された
462,concern,懸案する
463,concerned,関わっている、心配している
464,concession,譲歩
465,concise,簡潔な
466,conclude,締めくくる，という結論を下す
467,concrete,具体的な
468,condemn,責める
469,condense,凝縮する
470,conduct,行う
471,conducted,導かれた
472,conducting,導いている
473,conductor,導体，案内人，指揮者
474,confess,告白する
475,confidence,自信，信頼
476,confident,自信のある
477,confidential,機密の
478,confine,限る，を閉じこめる
479,confirm,を確認する
480,confirmation,確認
481,conflict,対立，争い
482,conform,従う、一致する
483,confront,直面させる
484,confusion,混乱
485,conglomerate,密集した
486,congratulate,お祝いする
487,congratulation,祝福
488,conquest,征服，占領
489,conscious,意識して，気づいて
490,consensus,同意
491,consent,同意する
492,consequential,重大な，必然の
493,consequently,その結果
494,conservation,保存，管理，維持
495,conservative,保守的な
496,conservatively,保守的に
497,conserve,保存する
498,consider,について考える
499,considerable,かなりの
500,considerate,思いやりがある、理解がある
501,consideration,考慮
502,considering,考慮している
503,consignment,委託
504,consist,成り立つ，存在する
505,consistently,持続的に
506,consolidate,統合する
507,constant,絶え間ない
508,constitute,構成する
509,constitution,憲法
510,construct,を組み立てる，を建造する
511,construction,建設
512,constructive,建設的な
513,consult,相談する
514,consume,～を消費する
515,consumer,消費者
516,consumption,消費
517,contact,と連絡をとる/接触、連絡
518,contain,を含む，が入っている
519,container,容器
520,contemporary,現代の
521,content,中身，目次/満足して
522,continent,大陸
523,continuous,連続の
524,contract,契約
525,contrary,反対の
526,contrast,対照
527,contribute,寄付する，貢献する
528,contribution,寄付，貢献
529,contributor,貢献者，寄与者
530,controversial,議論を引き起こす、議論の的になる
531,controversy,論争
532,convenience,便利
533,convenient,都合がよい
534,conveniently,便利に
535,conventional,従来の
536,convergence,収束
537,conversation,会話
538,conversion,変換
539,convert,変える，変わる
540,convey,伝える，を運ぶ
541,convince,納得させる，説得する
542,cooperate,協力する
543,cooperative,協力的な
544,cope,対処する
545,copper,銅
546,copyright,著作権
547,core competency,核となる技術
548,corporation,法人
549,correct,正確な/を訂正する
550,correspondent,特派員
551,corresponding,一致する
552,cost,費用として払う、費用
553,cost-effective,費用対効果の高い
554,could,～できた
555,council,議会
556,counsel,助言，相談，弁護士
557,counter,相対する
558,counterpart,相手，副本，写し
559,countless,数え切れないほどの、無数の
560,country,国，いなか，地方
561,county,州、郡
562,coupon,割引購入権
563,courage,勇気
564,courageous,勇気のある
565,courtesy,礼儀
566,courtroom,法廷
567,coworker,同僚
568,crack,亀裂
569,cradle,ゆりかご
570,crane,鶴
571,crate,箱
572,crawl,這う
573,creative,創造的な
574,credentials,資格、経歴、資質
575,credit,信用
576,creditor,債権者
577,crescent,三日月
578,crew,乗組員，一団
579,crime,犯罪
580,crisis,危機
581,crisp,新鮮な
582,criterion,基準
583,critic,批評家，批判者
584,critical,極めて重要な，非常に深刻な
585,critically,批判的に，危なく
586,criticism,批判
587,criticize,批判する
588,critics,批評
589,crop,収穫物
590,crowd,群衆
591,crucial,重要な
592,cruise,巡航する
593,culinary,料理の
594,cultivate,を耕作する，を栽培する
595,cunning,ずる賢い，狡猾な
596,cupboard,食器棚
597,curator,学芸員
598,cure,治療する
599,curiosity,好奇心
600,curious,好奇心が強い
601,currency,通貨
602,currently,現在のところ、現在
603,custodian,管理人
604,custom,習慣
605,customer,顧客
606,customer-satisfaction,顧客満足
607,cutlery,食器
608,cutting-edge,最先端の
609,damaged,損傷した
610,dare,思い切って…する，生意気にも…する
611,date,日付
612,day-to-day,日々の，毎日の
613,deadline,締め切り
614,debate,討論
615,debit,借り方
616,debris,破片
617,debt,借金，負債
618,decade,10年
619,decent,まともな
620,decision,決定、決心
621,decline,を断る，衰退する/低下，衰退
622,decor,装飾
623,decrease,減少する/減少
624,dedicate,捧げる
625,deducted,差し引かれた
626,default,債務不履行
627,defeat,を負かす
628,deficit,赤字
629,define,の意味を明確に述べる
630,definite,明確な
631,definition,定義
632,degree,程度、度
633,delayed,遅れた
634,delegate,委譲する、委任する
635,deliberately,故意に
636,delicate,微妙な，繊細な
637,delicatessen,惣菜
638,delighted,喜んで
639,deliver,を配達する
640,delivery,郵送、配達
641,demand,要求，需要/…を要求する
642,demanding,要求の厳しい
643,demerger,解体
644,democracy,民主主義
645,democratic,民主主義の，民主的な
646,demolition,解体
647,demonstrate,実証する
648,demonstration,デモ、実演
649,dental,歯科の
650,dentistry,歯科
651,deny,否定する
652,depart,出発する
653,department,部門、課
654,departure,出発
655,dependent,依存している
656,deplete,使い果たす
657,deposit,お金を預ける
658,depot,停車場，倉庫
659,depreciation,減価償却
660,depress,落胆させる
661,depression,不景気
662,deprive,奪う
663,deregulation,規制緩和
664,derive,引き出す
665,description,説明、描写
666,desert,砂漠/を立ち去る
667,deserving,値する
668,design,設計/設計する
669,designate,選定する
670,designated,指定された
671,designed,設計された
672,designer,設計者、デザイナー
673,desirable,望ましい
674,desire,願望/を強く望む
675,despite,にもかかわらず
676,destination,目的地
677,destruction,破壊
678,detective,探偵，刑事
679,detergent,洗剤
680,deterioration,悪化
681,determination,決定，決意
682,determine,を決める
683,detour,迂回する
684,develop,を発達［発展］させる、発達する
685,developed,開発された
686,development,発展、発達
687,device,装置、仕掛け
688,devise,考え出す
689,devote,時間・努力を注ぐ
690,devoted,献身的な
691,diabetes,糖尿病
692,dietary,食事の
693,different,違った
694,digit,桁
695,dignity,威厳，尊厳
696,dilemma,板ばさみ
697,diligence,勤勉
698,dilute,薄める
699,diminish,減る，を減らす
700,diner,簡易食堂
701,diplomatic,外交上の，外交官の
702,direct,直接の
703,direction,方向、指針
704,director,監督
705,directory,住所氏名録
706,dirt,泥
707,disabled,障害のある
708,disadvantage,不利，デメリット
709,disagree,一致しない
710,disappointment,失望
711,disassemble,分解する，解体する
712,disaster,災害
713,discipline,しつけ，規律
714,disclose,開示する
715,discontinued,（製造・販売が）終了した
716,discourage,をがっかりさせる
717,discover,発見する
718,discovery,発見
719,discuss,議論する
720,discussing,議論している
721,disease,病気
722,dismiss,解雇する，退出させる
723,displayed,表示された
724,disposal,廃棄
725,dispute,争議，口論
726,disregard,無視する
727,disruption,破壊
728,dissatisfaction,不満
729,distance,距離
730,distant,遠く離れた
731,distinct,はっきり異なる
732,distinction,区別，違い
733,distinctive,特有の
734,distinguish,見分ける、区別する
735,distinguished,際立って優れた、傑出した
736,distribute,配布する
737,distributed,配布した
738,distribution,分布
739,district,地域，地区
740,disturb,平穏を妨げる
741,diverse,多様な
742,diversification,多様化
743,diversify,多様化する
744,divide,分割する
745,dividend,配当
746,division,分割、部門
747,divorce,離婚
748,document,書類
749,documentary,事実を記録した
750,domestic,国内の，家庭内の
751,dominate,支配する
752,donate,寄付する
753,donation,寄付
754,donor,提供者，寄贈者
755,dormitory,寮
756,doubtful,疑わしい
757,downside,欠点
758,draft,草案
759,drain,排出させる
760,drainage,排水，排水路
761,drapery,カーテン
762,drastically,劇的に
763,draw,描く，引く
764,drawer,引き出し
765,driver,運転手
766,due,行われる予定の/納期
767,dull,面白みのない，鈍い
768,duration,持続時間
769,during,～の間、～を通じて
770,duty,職務、義務
771,dwell,住む
772,ease,容易さ
773,eatery,食堂
774,economic,経済の，経済的な
775,economics,経済学
776,economy,経済
777,edge,端
778,edition,版
779,editor,編集者
780,editorial,編集の
781,effective,効果的な
782,effectively,効果的に
783,efficiency,効率性
784,effort,努力
785,either,(もまた)～でない
786,elaborate,手の込んだ
787,election,選挙
788,electric,電気の
789,electricity,電気
790,electronic,電子の
791,elegant,優雅な
792,element,要素
793,elementary,初歩の，基本の
794,eligible,資格のある
795,eliminate,を取り除く
796,embarked,乗り出した
797,embarrassing,恥ずかしい
798,emblem,象徴
799,embrace,抱きしめる
800,emerge,現れる
801,emerging,新たに現れた、新興の
802,emission,排出
803,emperor,皇帝，天皇
804,emphasis,強調
805,emphasize,を強調する
806,employ,を雇う
807,employee,従業員
808,employer,雇用者
809,employment,雇用
810,emulation,競争，対抗
811,enable,可能にする
812,enclose,囲む、同封する
813,enclosure,同封物
814,encounter,遭遇する
815,encourage,を励ます、を助長する
816,encouraged,励ました
817,endangered,絶滅の危機に瀕した
818,endorse,支持する
819,endure,耐える
820,engaged,従事している，婚約している
821,enhance,高める，増す
822,enhancement,強化
823,enlarge,拡大する
824,enormous,非常に大きい
825,enough,十分な
826,enrich,豊かにする
827,enroll,登録する、入会する
828,ensure,を確実にする、を保証する
829,entail,伴う
830,enterprise,企業
831,entertain,を楽しませる
832,entertaining,おもしろい、愉快な
833,entertainment,娯楽
834,enthusiasm,情熱，熱意
835,enthusiastic,熱狂的な
836,enthusiastically,熱狂的に
837,entire,全体の，全体
838,entirely,完全に，全く
839,entity,実在，実体
840,entrance,入り口、入学
841,entrepreneur,起業家
842,entry,入場
843,envelope,封筒
844,environment,環境，状況
845,equal,等しい/に等しい
846,equality,平等さ
847,equally,同等に
848,equation,方程式
849,equator,赤道
850,equip,に備え付ける
851,equipment,装置、設備
852,equities,株式
853,equity,公平
854,equivalent,等しい，同等の
855,era,時代
856,especially,特に
857,essentially,本質的に
858,establish,を設立する
859,establishment,設立
860,estate,財産
861,esteem,尊重する
862,estimate,を推定する、
863,evaluate,評価する
864,evaluation,評価
865,even,～さえ
866,evenly,均等に
867,event,出来事、行事
868,eventually,最終的には
869,ever,今まで
870,every,毎～
871,evidence,証拠
872,evident,明らかな
873,evolution,進化，進展
874,evolve,進化する
875,exact,正確な
876,exactly,正確［厳密］に，ちょうど
877,examination,試験
878,examine,を検査する，を調べる
879,exceed,超える
880,except,を除いて
881,exception,例外
882,exceptional,並外れた
883,exceptionally,例外的に
884,excerpt,抜粋
885,excess,過ぎる
886,exchange,交換する
887,exclusion,除外
888,exclusive,排他的な
889,exclusively,排他的に
890,excuse,許す
891,executive,幹部、重役
892,exercise,練習する
893,exert,行使する
894,exhaust,疲れ果てさせる
895,exhausted,疲れ切った
896,exhibit,を表示する、を展示する
897,exhibition,展示
898,exhibitor,展示者
899,exist,存在する
900,existing,既存の
901,expand,を拡大する
902,expansion,拡張
903,expect,期待した
904,expedite,促進する
905,expenditure,支出
906,expense,費用、出費、犠牲
907,expensive,値段が高い
908,experience,経験/を経験する
909,experienced,経験した
910,experiment,実験
911,expert,専門家
912,expertise,専門知識
913,expiration,期限切れ，（契約などの）終了
914,expire,期限が切れる
915,explain,説明する
916,explanation,説明
917,exploration,探査
918,explore,を探索，探検する
919,explosion,爆発
920,expo,博覧会
921,export,を輸出する/輸出
922,exporter,輸出者
923,expose,明らかにする，をさらす
924,exposure,暴露
925,express,を表現する
926,expression,表現
927,extend,延びる，を拡張する
928,extension,拡張
929,extensive,広範な
930,extent,程度
931,exterior,外観
932,external,外部の
933,extinction,絶滅
934,extra,余分の
935,extract,抽出する
936,extraordinary,普通でない，並はずれた
937,extreme,極端な
938,fabric,織物
939,facilitate,容易にする、促進する
940,facilitator,進行役
941,facility,施設、設備
942,fact,事実
943,factor,要因，要素
944,factory,工場
945,faculty,学部
946,fade,次第に消える
947,fading,次第に消えていく
948,failure,失敗，失敗作，失敗者
949,faint,かすかな，わずかな
950,fair,公平な、かなりの
951,fairly,かなり，公平に
952,faith,信頼，信仰
953,faithfully,忠実に
954,fame,名声
955,family-owned,家族経営の
956,far,遠くに、はるかに
957,fare,運賃
958,farmer,農家
959,fascinate,魅了する
960,fastened,固定した
961,fate,運命
962,fault,欠点，過失
963,faulty,欠点のある
964,favor,親切な行為
965,features,機能
966,fee,料金
967,feed,に食べ物を与える，を養う
968,feedback,反応
969,fellow,仲間、同士
970,fertilizer,肥料
971,festival,祭り
972,fetch,取ってくる，誘い出す
973,fiction,創作
974,figure,図，表
975,finance,財政
976,financial,財政の、金融の
977,find,見つける
978,fire,解雇する
979,firm,しっかりした、堅い/会社
980,fix,を固定する、を修理する
981,flagship,旗艦
982,flair,才能，勘
983,flame,炎
984,flash,閃光
985,flat,平らな
986,flatten,平らにする
987,flavor,風味
988,flexibility,柔軟性
989,flexible,柔軟な
990,float,浮かぶ
991,floor,床、階
992,floor-to-ceiling,床から天井まで
993,flow,流れる/流れ
994,fluid,流動性の，変わりやすい
995,flyer,チラシ
996,fold,を折りたたむ
997,follow,の後を追う
998,followed,従った
999,foray,不意打ち
1000,force,力/を強制する
1001,forecast,予報、予測
1002,foresee,予見する，予測する
1003,form,形態/を形成する
1004,formally,正式に
1005,former,前の/前者
1006,formerly,以前は
1007,formula,式
1008,forthcoming,今後の
1009,fortunate,幸運な
1010,fortunately,幸いにも
1011,fortune,運，財産
1012,forum,公開討論会
1013,forward,前方へ
1014,found,を設立する
1015,foundation,土台，根拠，設立
1016,founder,創設者
1017,fountain,噴水
1018,fragile,もろい
1019,frame,骨組み，枠組み
1020,framework,骨格
1021,freight,貨物、輸送、輸送料/輸送する
1022,frequency,周波数
1023,frequent,頻繁な
1024,frequently,頻繁に
1025,friendliness,親しみやすさ
1026,frustrate,挫折させる
1027,fuel,燃料
1028,fulfill,を果たす，をかなえる
1029,fully,十分に，完全に
1030,fund,資金
1031,fund-raising,資金調達
1032,fundamental,基本的な，根本的な
1033,funding,資金調達
1034,funeral,葬式
1035,funny,おかしな
1036,fur,毛皮
1037,furniture,家具、調度品
1038,furthermore,その上に
1039,fusion,融合，溶解
1040,gain,を得る/獲得
1041,garage,倉庫
1042,garbage,生ゴミ，くず
1043,garden,庭
1044,garment,衣服
1045,gas,ガソリン
1046,gather,を集める，集まる
1047,gaze,じっと見つめる
1048,gene,遺伝子
1049,general,一般的な、全般的な
1050,generally,一般的に
1051,generate,を発生させる
1052,generation,世代
1053,generosity,寛大さ
1054,genius,天才
1055,genuine,本物の，偽りのない
1056,giveaway,景品，無料サンプル
1057,given,~を考慮すると、~と仮定すると
1058,glad,うれしい
1059,glance,一目見る
1060,glory,栄光
1061,glowing,白熱した、真っ赤に熟した
1062,govern,統治する
1063,government,政府，統治
1064,graduate,卒業する
1065,grand,壮大な
1066,grant,給付金/を与える
1067,grasp,つかむ，を理解する
1068,grateful,感謝して
1069,grave,墓/深刻な
1070,gravity,重力
1071,greet,挨拶する
1072,greeting,あいさつ
1073,grief,悲しみ
1074,grocery,食料品
1075,grow,増加する、育てる
1076,guarantee,を保証する
1077,guess,だと思う，を推測する
1078,guest,客
1079,guilty,有罪の
1080,habit,習慣
1081,Hall,玄関の広間、ろうか
1082,handcrafted,手作りの
1083,handicraft,手芸
1084,handle,を手で扱う，にうまく対処する
1085,handout,配布物
1086,hands-on,実地の、実用的な
1087,hang,つるす，を絞首刑にする
1088,happen,起こる
1089,hard-to-reach,到達するのが難しい
1090,harmful,有害な
1091,harmonize,調和させる
1092,harmony,調和
1093,harvest,収穫/を収穫する
1094,haul,運搬する
1095,head,頭，先頭
1096,headquarters,本部
1097,healthy,健康な
1098,heaven,天
1099,hedge,垣根，防止策
1100,held,開催された
1101,hereby,ここに
1102,heritage,遺産
1103,hesitate,ためらう
1104,highlight,目立たせる
1105,highly,とても，高く
1106,hire,を雇う
1107,historical,歴史（上）の
1108,hold,握る、開催する
1109,honest,正直な
1110,honor,名誉，敬意
1111,horizontal,水平の
1112,hostile,敵意のある，敵の
1113,household,家族，家
1114,housing,住宅
1115,human,人間の
1116,hunger,飢え，空腹
1117,hydrogen,水素
1118,hygiene,衛生
1119,ideal,理想/理想の
1120,identical,全く同じ
1121,identification,身分証明書
1122,identify,を見分ける
1123,if,もし～ならば
1124,ignore,を無視する
1125,illegal,違法の
1126,illustrate,説明する，図解する
1127,imitate,模倣する
1128,immediate,即座の
1129,immediately,即座に
1130,immense,非常に大きな、巨大な
1131,immigrant,移民
1132,implement,実施する
1133,implementation,実装
1134,implemented,実行された
1135,implied,暗示した
1136,imply,をほのめかす
1137,importantly,重要なことに
1138,impose,を課す
1139,impress,印象づける
1140,impressed,感動した，印象付けられた
1141,impression,印象
1142,improve,を改善する
1143,improved,改善した
1144,improvement,改善
1145,impulse,衝動
1146,in-person,対面で
1147,in-store,お店の中で
1148,inactive,怠惰な、活動していない
1149,inattentive,不注意な
1150,inaugurate,就任させる
1151,incentive,動機
1152,incident,事件
1153,inclement,荒れ模様の、厳しい
1154,include,を含む
1155,included,含まれた
1156,including,含んでいる
1157,inclusive,含んだ、含めて
1158,income,所得
1159,incomplete,不完全な
1160,inconsistent,一貫しない，矛盾した
1161,inconvenience,不便
1162,inconvenient,不便な
1163,incorporate,合体させる
1164,incorrect,不正解の
1165,increasing,増加している
1166,incur,負う
1167,indeed,確かに
1168,indemnity,補償
1169,independence,独立，自立
1170,independent,独立した，自立した
1171,independently,単独で、独立して
1172,indicate,を指し示す
1173,indicated,示された
1174,indicator,指示者
1175,indispensable,欠かせない、絶対必要な
1176,individual,個人の，個々の/個人
1177,industrial,産業の
1178,industry,産業、工業
1179,industry-wide,業界全体の
1180,inevitable,避けられない
1181,inexpensive,安価な
1182,infant,幼児
1183,infection,感染
1184,infer,推察する，考える
1185,inflate,膨らませる
1186,inflation,膨張
1187,influence,に影響を及ぼす/影響
1188,inform,に知らせる
1189,informally,くだけて、非公式に
1190,information,情報
1191,informative,有益な
1192,informed,知らせた
1193,ingredient,材料、原料
1194,inhabitant,（ある場所の）居住者，生息動物
1195,initial,当初の
1196,initially,最初に
1197,initiate,開始する
1198,initiative,主導権
1199,injury,けが
1200,inlet,入り江
1201,inmate,収容者，同居人
1202,inner,内部の
1203,innovation,革新
1204,innovative,革新的な
1205,inquire,問い合わせる
